取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-19 06:24,2027-05,164,1377,サカタのタネ,1900,117200,8700,―,―,◎,▲,4410,100,247,3283,6,,,―
2026-09-19 06:24,2027-05,164,2168,パソナ,0,,,×,0,―,―,20,100,,15,,,0,×
2026-09-19 06:24,2027-05,164,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,,,,―,―,―,―,620,1000,247,4615,0,,,―
2026-09-19 06:24,2027-05,164,2462,ライク,0,,,×,0,―,―,1510,300,247,3372,82.0,,0,×
2026-09-19 06:24,2027-05,164,2493,イーサポートリンク,,,,―,―,―,―,956,100,247,712,0,,,―
2026-09-19 06:24,2027-05,164,2678,アスクル,0,,,×,0,―,―,1243,100,236,884,3.0,,,×
2026-09-19 06:24,2027-05,164,2722,ＩＫホールディングス,0,,,―,―,―,―,360,100,247,268,24,,,―
2026-09-19 06:24,2027-05,164,2791,大黒天物産,0,900,600,◎,0,―,―,4560,100,247,3394,95.0,,0,◎
2026-09-19 06:24,2027-05,164,2792,ハニーズホールディングス,0,,3200,―,―,―,―,1445,100,247,1076,14.0,,,―
2026-09-19 06:24,2027-05,164,3148,クリエイトＳＤホールディングス,1400,97800,9200,▲,30000,―,▲,3300,100,247,2456,15.0,0,0,▲
2026-09-19 06:24,2027-05,164,3160,大光,0,,,×,―,―,―,582,500,247,2166,34.0,,,×
2026-09-19 06:24,2027-05,164,3201,日本毛織,1000,181200,11600,―,―,◎,▲,1983,100,247,1476,3.0,,,―
2026-09-19 06:24,2027-05,164,3297,東武住販,,,,―,―,―,―,1179,100,247,878,0,,,―
2026-09-19 06:24,2027-05,164,3472,日本ホテル＆レジデンシャル投資法人,3,,,▲,―,―,―,66900,1,247,498,0,,0,▲
2026-09-19 06:24,2027-05,164,3501,ＳＵＭＩＮＯＥ,0,,,―,―,―,―,1196,300,247,2671,111,,,―
2026-09-19 06:24,2027-05,164,3547,ユニシアホールディングス,0,,,―,―,―,―,1947,100,247,1449,69,,,―
2026-09-19 06:24,2027-05,164,3549,クスリのアオキホールディングス,0,26500,,×,0,―,―,4000,100,236,2845,29.0,,,×
2026-09-19 06:24,2027-05,164,3556,リネットジャパングループ,,,0,―,―,―,―,809,100,247,602,0,,,―
2026-09-19 06:24,2027-05,164,3645,メディカルネット,,,,―,―,―,―,256,100,247,191,0,,,―
2026-09-19 06:24,2027-05,164,3760,ケイブ,,,,―,―,―,▲,719,100,247,535,0,,,―
2026-09-19 06:24,2027-05,164,3892,岡山製紙,,,,―,―,―,―,1589,100,247,1183,86.0,,,―
2026-09-19 06:24,2027-05,164,3994,マネーフォワード,0,300,0,―,―,―,―,5901,100,247,4393,1.0,,,―
2026-09-19 06:24,2027-05,164,4465,ニイタカ,0,,,―,―,―,―,2435,100,247,1813,125.0,,,―
2026-09-19 06:24,2027-05,164,4825,ウェザーニューズ,0,19100,0,×,17000,―,―,2029,100,247,1510,28.0,,0,×
2026-09-19 06:24,2027-05,164,5869,早稲田学習研究会,,,,―,―,―,―,1259,200,247,1874,62.0,,,―
2026-09-19 06:24,2027-05,164,5967,ＴＯＮＥ,,,,―,―,―,―,0,100,247,,0,,,―
2026-09-19 06:24,2027-05,164,6150,タケダ機械,,,,―,―,―,―,2795,400,247,8322,0,,,―
2026-09-19 06:24,2027-05,164,6634,ネクスグループ,,,,―,―,―,―,0,100,247,,0,,,―
2026-09-19 06:24,2027-05,164,6905,コーセル,0,29300,28300,―,―,◎,▲,1371,300,236,2925,9.0,,,―
2026-09-19 06:24,2027-05,164,7388,ＦＰパートナー,,,0,―,―,―,―,2360,100,247,1757,125.0,,,―
2026-09-19 06:24,2027-05,164,7434,オータケ,,,,―,―,―,―,0,100,247,,0,,,―
2026-09-19 06:24,2027-05,164,7487,小津産業,0,,,―,―,―,―,1856,100,247,1382,96,,,―
2026-09-19 06:24,2027-05,164,8908,毎日コムネット,0,,,―,―,―,▲,888,100,247,661,19.0,,,―
2026-09-19 06:24,2027-05,164,9216,ビーウィズ,0,,,―,―,―,―,1700,200,247,2531,96,,,―
2026-09-19 06:24,2027-05,164,9265,ヤマシタヘルスケアホールディングス,0,,,―,―,―,×,3655,100,247,2721,0,,,―
2026-09-19 06:24,2027-05,164,9278,ブックオフグループホールディングス,0,,,×,2600,―,―,2732,100,247,2034,72,,0,×
2026-09-19 06:24,2027-05,164,9765,オオバ,0,,,―,―,―,―,1193,500,247,4440,36,,,―
