監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1377,サカタのタネ,【100株】新米1.5kgなどのカタログギフト【注：継続保有制限】,600,44.0,0.14,,,max逆日歩:6,2027-05
False,,2168,パソナ,クーポン,,0.0,,0,,,2027-05
False,,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,【1000株】クオカード1000円相当,950,63.0,0.15,,,,2027-05
False,,2462,ライク,【300株】プレミアム優待クラブ 4000円相当,4000,49,0.8,0,,max逆日歩:82.0,2027-05
False,,2493,イーサポートリンク,【100株】りんごジュース 1L×3本,750,10.0,0.78,,,,2027-05
False,,2678,アスクル,【100株】ＬＯＨＡＣＯ割引クーポン2000円,2000,12,1.7,0,,注意喚起:注意喚起 / max逆日歩:3.0,2027-05
False,,2722,ＩＫホールディングス,"【100株】鰹昆亭の和風だし等2,000円相当【注：継続保有制限】",800,4.0,2.22,,,max逆日歩:24,2027-05
False,,2791,大黒天物産,【100株】果物 2000円相当,2000,43,0.5,0,,max逆日歩:95.0,2027-05
False,,2792,ハニーズホールディングス,【100株】優待券 3000円相当【注：継続保有制限】,1800,14.0,1.26,,,max逆日歩:14.0,2027-05
False,,3148,クリエイトＳＤホールディングス,【100株】買物券 1500円相当,1500,32,0.5,30000,,max逆日歩:15.0,2027-05
False,,3160,大光,"【500株】アミカ商品券2,000円分もしくはクオカード1,000円分",1000,29,0.3,,,max逆日歩:34.0,2027-05
False,,3201,日本毛織,【100株】クオカード 1000円相当【注：継続保有制限】,950,20.0,0.47,,,max逆日歩:3.0,2027-05
False,,3297,東武住販,【100株】食べ物詰め合わせ1000円相当,500,12.0,0.42,,,,2027-05
False,,3472,日本ホテル＆レジデンシャル投資法人,【1口】アパホテル宿泊充当可能ポイント500ポイント,500,7,0.7,,,,2027-05
False,,3501,ＳＵＭＩＮＯＥ,"【300株】オリジナルカタログギフト 4,000円相当",2400,36.0,0.67,,,max逆日歩:111,2027-05
False,,3547,ユニシアホールディングス,【100株】食事優待券2000円相当,1200,19.0,0.62,,,max逆日歩:69,2027-05
False,,3549,クスリのアオキホールディングス,【100株】Aocaギフトカード2000円 もしくは Visaギフトカード1500円など,2000,34,0.6,0,,注意喚起:申込停止 / max逆日歩:29.0,2027-05
False,,3556,リネットジャパングループ,【100株】【2026のみ】デジタルギフト® 500円分,200,8.0,0.25,,,,2027-05
False,,3645,メディカルネット,【100株】デシタルギフト1000円相当【注：継続保有制限】,970,3.0,3.75,,,注意喚起:申込停止,2027-05
False,,3760,ケイブ,【100株】クオカード500円相当【注：継続保有制限】,475,7.0,0.66,,,,2027-05
False,,3892,岡山製紙,【100株】クオカード500円相当,475,16.0,0.3,,,max逆日歩:86.0,2027-05
False,,3994,マネーフォワード,【100株】マネーフォワード ME「スタンダードコース」半年分クーポン【注：継続保有制限】,,58.0,0.0,,,注意喚起:注意喚起 / max逆日歩:1.0,2027-05
False,,4465,ニイタカ,【100株】グルメカード 500円相当,485,23.0,0.21,,,max逆日歩:125.0,2027-05
False,,4825,ウェザーニューズ,【100株】ウェザーニュースPro 半年間利用権,4080,43,0.9,17000,,max逆日歩:28.0,2027-05
False,,5869,早稲田学習研究会,"【200株】クオカード1,000円相当【注：継続保有制限】",950,25.0,0.38,,,max逆日歩:62.0,2027-05
False,,5967,ＴＯＮＥ,【100株】ＴＯＮＥ製品優待価格購入,,,0.0,,,,2027-05
False,,6150,タケダ機械,【400株】プレミアム優待クラブ15000ポイント,9000,112.0,0.81,,,,2027-05
False,,6634,ネクスグループ,【100株】宿泊・旅行費用割引,,,0.0,,,注意喚起:申込停止,2027-05
False,,6905,コーセル,【300株】優待カタログ5000円相当【注：継続保有制限】,3000,44.0,0.68,,,max逆日歩:9.0,2027-05
False,,7388,ＦＰパートナー,"【100株】デジタルギフト3,000円相当【注：継続保有制限】",2910,23.0,1.25,,,注意喚起:注意喚起 / max逆日歩:125.0,2027-05
False,,7434,オータケ,【100株】クオカード 1000円相当,950,,0.0,,,,2027-05
False,,7487,小津産業,【100株】クオカード 1000円相当,950,19.0,0.51,,,max逆日歩:96,2027-05
False,,8908,毎日コムネット,【100株】ﾍﾞﾈﾌｨｯﾄｽﾃｰｼｮﾝ会員サービス 3600円相当,3600,9.0,4.03,,,max逆日歩:19.0,2027-05
False,,9216,ビーウィズ,【200株】プレミアム優待クラブ8000ポイント,4800,34.0,1.41,,,max逆日歩:96,2027-05
False,,9265,ヤマシタヘルスケアホールディングス,【100株】クオカード 500円相当,475,38.0,0.13,,,,2027-05
False,,9278,ブックオフグループホールディングス,【100株】買物券 2000円相当など,2000,20,1.0,2600,,max逆日歩:72,2027-05
False,,9765,オオバ,【500株】クオカード 1000円相当,950,60.0,0.16,,,max逆日歩:36,2027-05
